ID,Colore,Categoria,Domanda,A,B,C,Corretta,Battuta
#V041,verde,CIBI FURBI & CIBI TRAPPOLA,Quale alga la NASA voleva portarsi nello spazio?,"Klamath, ma si scoglie più di un gelato al sole",Spirulina\! Proteine e ferro spaziali\!,"Nori, quella dei sushi roll da discount",B,"BUCHETTO ASTRO: ""Gli astronauti volevano la spirulina, non il sushi\! Il tuo culetto nello spazio ringrazia, senza microonde ma con tanta fibra verde\!"
#V042,verde,CIBI FURBI & CIBI TRAPPOLA,La maca peruviana è chiamata anche…?,Patata sacra delle Ande,Radice del Sole,Ginseng delle Ande\!,C,"BUCHETTO INCA: ""Gli Inca la usavano per fare l’amore e la guerra\! Il tuo culetto oggi la usa per gli esami e le notti brave\!"
#V043,verde,CIBI FURBI & CIBI TRAPPOLA,Chi è il fungo 'barboncino del cervello'?,"Shiitake, il Giapponese della zuppa","Reishi, il guru della longevità",Lion’s Mane\!,C,"BUCHETTO HAIR: ""Sembra un barboncino ma ti fa pensare come Einstein\! Altro che caffè, il tuo cervello ringrazia\!"
#V044,verde,CIBI FURBI & CIBI TRAPPOLA,Perché lo zenzero è considerato uno 'scaldante naturale'?,Perché ti infiamma come una peperonata,Stimola la circolazione\!,Ha dentro caffeina segreta,B,"BUCHETTO FUOCO: ""Con lo zenzero ti scaldi senza termosifoni\! Il culetto fa sauna gratis\!"
#V045,verde,CIBI FURBI & CIBI TRAPPOLA,Qual è l’alga verde detox piena di clorofilla?,"Wakame, quella delle insalate","Lattuga di mare, fashion ma inutile",Chlorella\!,C,"BUCHETTO VERDE: ""È come un mojito per il fegato, senza alcol\! Il culetto detox balla felice\!"
#V046,verde,CIBI FURBI & CIBI TRAPPOLA,Quale radice è famosa per aumentare energia e concentrazione?,"Rapa rossa, da centrifuga","Liquirizia, quella delle nonne",Ginseng\!,C,"BUCHETTO POWER: ""È la Red Bull delle radici\! Ma senza taurina, solo botta naturale al cervello e al culetto\!"
#V047,verde,CIBI FURBI & CIBI TRAPPOLA,Quale pianta della Siberia è la regina dell’anti-stress?,"Aloe vera, la spa in vaso","Eleuterococco, il cugino timido",Rhodiola\!,C,"BUCHETTO SIBERIANO: ""Resiste al gelo e ti fa resistere al capo ufficio\! Il tuo culetto diventa zen pure in inverno\!"
#V048,verde,CIBI FURBI & CIBI TRAPPOLA,Quale pianta è la Viagra naturale dei villaggi antichi?,"Cardo mariano, quello del fegato","Damiana, la romantica",Tribulus\!,C,"BUCHETTO HOT: ""Più testosterone di un toro\! Il culetto arde di passione, altro che candele profumate\!"
#V049,verde,CIBI FURBI & CIBI TRAPPOLA,Quale alimento crudo ti mette di buonumore con la teobromina?,"Carruba, la sorella povera","Caffè verde, che sa di erba",Cacao crudo\!,C,"BUCHETTO CHOCO: ""Il vero cioccolato della felicità\! Non serve latte, basta amore per il culetto\!"
#V050,verde,ERBE SPONTANEE,Quale erba è il 'cerotto vegetale' dei prati?,"Ortica, che ti punge","Malva, che calma ma non chiude",Piantaggine\!,C,"BUCHETTO PRONTO SOCCORSO: ""La metti su una ferita e zac\! Guarisce più veloce\! Altro che cerotti di plastica\!"
